"","V1"
"713","FBgn0267493"
"714","FBgn0000092"
"715","FBgn0038849"
"716","FBgn0038850"
"717","FBgn0039297"
"718","FBgn0039298"
"719","FBgn0039299"
"720","FBgn0051189"
"721","FBgn0051207"
"722","FBgn0003459"
"723","FBgn0030432"
"724","FBgn0030952"
"725","FBgn0032130"
"726","FBgn0035160"
"727","FBgn0036423"
"728","FBgn0036900"
"729","FBgn0284249"
"730","FBgn0003747"
"731","FBgn0035167"
"732","FBgn0035486"
"733","FBgn0045476"
"734","FBgn0045477"
"735","FBgn0045478"
"736","FBgn0045479"
"737","FBgn0052255"
"738","FBgn0004425"
"739","FBgn0004427"
"740","FBgn0004428"
"741","FBgn0004429"
"742","FBgn0004430"
"743","FBgn0004431"
"744","FBgn0034092"
"745","FBgn0050062"
"746","FBgn0023523"
"747","FBgn0026384"
"748","FBgn0026390"
"749","FBgn0026391"
"750","FBgn0026392"
"751","FBgn0026395"
"752","FBgn0041626"
"753","FBgn0062565"
"754","FBgn0026268"
"755","FBgn0030073"
"756","FBgn0030332"
"757","FBgn0031775"
"758","FBgn0036380"
"759","FBgn0038878"
"760","FBgn0069973"
"761","FBgn0263830"
"762","FBgn0027578"
"763","FBgn0039022"
"764","FBgn0039023"
"765","FBgn0039024"
"766","FBgn0039609"
"767","FBgn0039611"
"768","FBgn0039612"
"769","FBgn0039613"
"770","FBgn0029769"
"771","FBgn0030425"
"772","FBgn0031678"
"773","FBgn0031805"
"774","FBgn0031808"
"775","FBgn0032585"
"776","FBgn0033742"
"777","FBgn0259716"
"778","FBgn0029795"
"779","FBgn0030040"
"780","FBgn0032733"
"781","FBgn0034662"
"782","FBgn0034663"
"783","FBgn0034664"
"784","FBgn0046302"
"785","FBgn0054040"
"786","FBgn0029961"
"787","FBgn0029965"
"788","FBgn0029966"
"789","FBgn0029968"
"790","FBgn0030385"
"791","FBgn0259188"
"792","FBgn0259189"
"793","FBgn0259190"
"794","FBgn0030880"
"795","FBgn0031804"
"796","FBgn0033312"
"797","FBgn0034160"
"798","FBgn0036929"
"799","FBgn0050280"
"800","FBgn0050281"
"801","FBgn0051832"
"802","FBgn0031320"
"803","FBgn0039315"
"804","FBgn0039316"
"805","FBgn0039319"
"806","FBgn0051104"
"807","FBgn0051300"
"808","FBgn0051370"
"809","FBgn0051436"
"810","FBgn0031517"
"811","FBgn0031520"
"812","FBgn0031522"
"813","FBgn0031523"
"814","FBgn0037485"
"815","FBgn0037486"
"816","FBgn0053281"
"817","FBgn0053282"
"818","FBgn0032055"
"819","FBgn0038032"
"820","FBgn0038033"
"821","FBgn0038449"
"822","FBgn0038450"
"823","FBgn0038451"
"824","FBgn0039620"
"825","FBgn0085371"
"826","FBgn0033076"
"827","FBgn0051128"
"828","FBgn0052219"
"829","FBgn0053710"
"830","FBgn0085287"
"831","FBgn0262891"
"832","FBgn0264472"
"833","FBgn0264540"
"834","FBgn0033650"
"835","FBgn0053766"
"836","FBgn0053767"
"837","FBgn0053768"
"838","FBgn0053769"
"839","FBgn0053770"
"840","FBgn0053771"
"841","FBgn0053772"
"842","FBgn0035856"
"843","FBgn0035858"
"844","FBgn0035859"
"845","FBgn0036589"
"846","FBgn0036594"
"847","FBgn0040798"
"848","FBgn0040799"
"849","FBgn0052266"
"850","FBgn0036066"
"851","FBgn0038414"
"852","FBgn0038415"
"853","FBgn0038416"
"854","FBgn0052053"
"855","FBgn0052054"
"856","FBgn0262007"
"857","FBgn0262008"
"858","FBgn0037175"
"859","FBgn0053640"
"860","FBgn0053641"
"861","FBgn0053642"
"862","FBgn0053643"
"863","FBgn0053645"
"864","FBgn0085289"
"865","FBgn0286834"
"866","FBgn0040784"
"867","FBgn0085361"
"868","FBgn0260867"
"869","FBgn0260868"
"870","FBgn0260869"
"871","FBgn0260870"
"872","FBgn0260871"
"873","FBgn0260873"
"874","FBgn0000639"
"875","FBgn0002562"
"876","FBgn0002563"
"877","FBgn0002564"
"878","FBgn0002565"
"879","FBgn0036410"
"880","FBgn0036782"
"881","FBgn0025378"
"882","FBgn0034776"
"883","FBgn0035003"
"884","FBgn0035971"
"885","FBgn0036832"
"886","FBgn0050323"
"887","FBgn0085200"
"888","FBgn0027843"
"889","FBgn0038956"
"890","FBgn0039235"
"891","FBgn0039486"
"892","FBgn0039838"
"893","FBgn0040628"
"894","FBgn0040629"
"895","FBgn0028944"
"896","FBgn0028945"
"897","FBgn0028947"
"898","FBgn0028948"
"899","FBgn0028949"
"900","FBgn0028950"
"901","FBgn0030947"
"902","FBgn0029657"
"903","FBgn0030599"
"904","FBgn0052588"
"905","FBgn0053252"
"906","FBgn0261834"
"907","FBgn0262485"
"908","FBgn0262486"
"909","FBgn0030103"
"910","FBgn0033268"
"911","FBgn0039678"
"912","FBgn0039682"
"913","FBgn0039684"
"914","FBgn0039685"
"915","FBgn0046875"
"916","FBgn0030224"
"917","FBgn0030451"
"918","FBgn0032968"
"919","FBgn0034833"
"920","FBgn0037455"
"921","FBgn0038357"
"922","FBgn0039577"
"923","FBgn0030369"
"924","FBgn0037601"
"925","FBgn0038005"
"926","FBgn0038006"
"927","FBgn0038007"
"928","FBgn0038076"
"929","FBgn0038236"
"930","FBgn0030539"
"931","FBgn0035551"
"932","FBgn0035552"
"933","FBgn0035582"
"934","FBgn0036639"
"935","FBgn0037204"
"936","FBgn0052237"
"937","FBgn0031802"
"938","FBgn0031803"
"939","FBgn0035458"
"940","FBgn0039675"
"941","FBgn0039676"
"942","FBgn0039677"
"943","FBgn0039679"
"944","FBgn0032868"
"945","FBgn0051680"
"946","FBgn0052580"
"947","FBgn0053325"
"948","FBgn0261058"
"949","FBgn0262484"
"950","FBgn0262536"
"951","FBgn0033469"
"952","FBgn0038144"
"953","FBgn0039101"
"954","FBgn0039108"
"955","FBgn0042106"
"956","FBgn0051219"
"957","FBgn0051220"
"958","FBgn0034321"
"959","FBgn0034322"
"960","FBgn0034323"
"961","FBgn0034324"
"962","FBgn0034325"
"963","FBgn0034326"
"964","FBgn0054028"
"965","FBgn0035434"
"966","FBgn0052268"
"967","FBgn0052274"
"968","FBgn0052279"
"969","FBgn0052282"
"970","FBgn0052283"
"971","FBgn0283461"
"972","FBgn0000055"
"973","FBgn0000056"
"974","FBgn0000640"
"975","FBgn0011693"
"976","FBgn0036620"
"977","FBgn0042137"
"978","FBgn0000551"
"979","FBgn0035735"
"980","FBgn0037067"
"981","FBgn0037068"
"982","FBgn0037069"
"983","FBgn0050163"
"984","FBgn0003046"
"985","FBgn0035736"
"986","FBgn0035737"
"987","FBgn0036108"
"988","FBgn0036109"
"989","FBgn0036110"
"990","FBgn0003979"
"991","FBgn0003980"
"992","FBgn0003983"
"993","FBgn0014076"
"994","FBgn0085362"
"995","FBgn0086266"
"996","FBgn0013300"
"997","FBgn0013301"
"998","FBgn0039707"
"999","FBgn0267903"
"1000","FBgn0267904"
"1001","FBgn0267905"
"1002","FBgn0013763"
"1003","FBgn0020414"
"1004","FBgn0020415"
