"","V1"
"947","TC033894"
"948","TC001492"
"949","TC001781"
"950","TC001787"
"951","TC001789"
"952","TC001801"
"953","TC002329"
"954","TC004255"
"955","TC004412"
"956","TC005016"
"957","TC005160"
"958","TC005199"
"959","TC006898"
"960","TC014852"
"961","TC016100"
"962","TC032704"
"963","TC033284"
"964","TC001842"
"965","TC001848"
"966","TC002023"
"967","TC005126"
"968","TC005197"
"969","TC005213"
"970","TC005256"
"971","TC005257"
"972","TC006836"
"973","TC006956"
"974","TC009408"
"975","TC010694"
"976","TC016397"
"977","TC031663"
"978","TC031826"
"979","TC033477"
"980","TC003103"
"981","TC003104"
"982","TC003345"
"983","TC003347"
"984","TC003348"
"985","TC004442"
"986","TC004443"
"987","TC004444"
"988","TC004447"
"989","TC004448"
"990","TC004940"
"991","TC004941"
"992","TC004942"
"993","TC032024"
"994","TC032323"
"995","TC032324"
"996","TC008364"
"997","TC012915"
"998","TC012922"
"999","TC012923"
"1000","TC012924"
"1001","TC015813"
"1002","TC015814"
"1003","TC032286"
"1004","TC032896"
"1005","TC032897"
"1006","TC033162"
"1007","TC033163"
"1008","TC033454"
"1009","TC033455"
"1010","TC033456"
"1011","TC033457"
"1012","TC030191"
"1013","TC030192"
"1014","TC030193"
"1015","TC030194"
"1016","TC030196"
"1017","TC030197"
"1018","TC030198"
"1019","TC030199"
"1020","TC030200"
"1021","TC030201"
"1022","TC030202"
"1023","TC030203"
"1024","TC030204"
"1025","TC030205"
"1026","TC030206"
"1027","TC030208"
"1028","TC000803"
"1029","TC000804"
"1030","TC003375"
"1031","TC003378"
"1032","TC003379"
"1033","TC005133"
"1034","TC006732"
"1035","TC006733"
"1036","TC007922"
"1037","TC012856"
"1038","TC015089"
"1039","TC016251"
"1040","TC032046"
"1041","TC032047"
"1042","TC033919"
"1043","TC001319"
"1044","TC001402"
"1045","TC001495"
"1046","TC001597"
"1047","TC001811"
"1048","TC003884"
"1049","TC004315"
"1050","TC004441"
"1051","TC006891"
"1052","TC006892"
"1053","TC010233"
"1054","TC010703"
"1055","TC011914"
"1056","TC012937"
"1057","TC012938"
"1058","TC005333"
"1059","TC005334"
"1060","TC007823"
"1061","TC011345"
"1062","TC030325"
"1063","TC030327"
"1064","TC030328"
"1065","TC030334"
"1066","TC030337"
"1067","TC031292"
"1068","TC031988"
"1069","TC031989"
"1070","TC031990"
"1071","TC033308"
"1072","TC034194"
"1073","TC001663"
"1074","TC002021"
"1075","TC002022"
"1076","TC002028"
"1077","TC004348"
"1078","TC005151"
"1079","TC005193"
"1080","TC005279"
"1081","TC030944"
"1082","TC031260"
"1083","TC031767"
"1084","TC031775"
"1085","TC031873"
"1086","TC034492"
"1087","TC001909"
"1088","TC002158"
"1089","TC004204"
"1090","TC004211"
"1091","TC004339"
"1092","TC004341"
"1093","TC004346"
"1094","TC005036"
"1095","TC005263"
"1096","TC006958"
"1097","TC008591"
"1098","TC010631"
"1099","TC010981"
"1100","TC015482"
"1101","TC002272"
"1102","TC010325"
"1103","TC010327"
"1104","TC010390"
"1105","TC031678"
"1106","TC032246"
"1107","TC032434"
"1108","TC032435"
"1109","TC032436"
"1110","TC032437"
"1111","TC032512"
"1112","TC032513"
"1113","TC034627"
"1114","TC034628"
"1115","TC003807"
"1116","TC005026"
"1117","TC010240"
"1118","TC014887"
"1119","TC015100"
"1120","TC015101"
"1121","TC015158"
"1122","TC015159"
"1123","TC015161"
"1124","TC015414"
"1125","TC015554"
"1126","TC015599"
"1127","TC015601"
"1128","TC033405"
"1129","TC004273"
"1130","TC004274"
"1131","TC011961"
"1132","TC012281"
"1133","TC012282"
"1134","TC012283"
"1135","TC012285"
"1136","TC033603"
"1137","TC034240"
"1138","TC034241"
"1139","TC034242"
"1140","TC034323"
"1141","TC034377"
"1142","TC034775"
"1143","TC009176"
"1144","TC009177"
"1145","TC009178"
"1146","TC009179"
"1147","TC009180"
"1148","TC009624"
"1149","TC009625"
"1150","TC009626"
"1151","TC009627"
"1152","TC009629"
"1153","TC009630"
"1154","TC033582"
"1155","TC033583"
"1156","TC034771"
"1157","TC001474"
"1158","TC003828"
"1159","TC004221"
"1160","TC005739"
"1161","TC006927"
"1162","TC009440"
"1163","TC009928"
"1164","TC011627"
"1165","TC016022"
"1166","TC031298"
"1167","TC031671"
"1168","TC033137"
"1169","TC034907"
"1170","TC001984"
"1171","TC003412"
"1172","TC004912"
"1173","TC006926"
"1174","TC010966"
"1175","TC011574"
"1176","TC015884"
"1177","TC016418"
"1178","TC030936"
"1179","TC030963"
"1180","TC030981"
"1181","TC031136"
"1182","TC031297"
"1183","TC002262"
"1184","TC011721"
"1185","TC011722"
"1186","TC011735"
"1187","TC011736"
"1188","TC011737"
"1189","TC012769"
"1190","TC012770"
"1191","TC012771"
"1192","TC012772"
"1193","TC012773"
"1194","TC034082"
"1195","TC034279"
"1196","TC002721"
"1197","TC002722"
"1198","TC003368"
"1199","TC003369"
"1200","TC010423"
"1201","TC013679"
"1202","TC013680"
"1203","TC013681"
"1204","TC013773"
"1205","TC014125"
"1206","TC014641"
"1207","TC015992"
"1208","TC033050"
"1209","TC003037"
"1210","TC003039"
"1211","TC003040"
"1212","TC003041"
"1213","TC003042"
"1214","TC003044"
"1215","TC003386"
"1216","TC003387"
"1217","TC005091"
"1218","TC005092"
"1219","TC005097"
"1220","TC005098"
"1221","TC006358"
"1222","TC004024"
"1223","TC005730"
"1224","TC006397"
"1225","TC006398"
"1226","TC006399"
"1227","TC007428"
"1228","TC011432"
"1229","TC016395"
"1230","TC033404"
"1231","TC034067"
"1232","TC034068"
"1233","TC034069"
"1234","TC034926"
"1235","TC005089"
"1236","TC007557"
"1237","TC010946"
"1238","TC012189"
"1239","TC014099"
"1240","TC015351"
"1241","TC015446"
"1242","TC015680"
"1243","TC031745"
"1244","TC031801"
"1245","TC033516"
"1246","TC033517"
"1247","TC034285"
"1248","TC005143"
"1249","TC011235"
"1250","TC014884"
"1251","TC014914"
"1252","TC014915"
"1253","TC015789"
"1254","TC015790"
"1255","TC015791"
"1256","TC015988"
"1257","TC016123"
"1258","TC016124"
"1259","TC031304"
"1260","TC033449"
"1261","TC005499"
"1262","TC009690"
"1263","TC009691"
"1264","TC009692"
"1265","TC009693"
"1266","TC009694"
"1267","TC009697"
"1268","TC009698"
"1269","TC015229"
"1270","TC015230"
"1271","TC033626"
"1272","TC033627"
"1273","TC034086"
"1274","TC008523"
"1275","TC011180"
"1276","TC015291"
"1277","TC015292"
"1278","TC015295"
"1279","TC015296"
"1280","TC015343"
"1281","TC032538"
"1282","TC032539"
"1283","TC033333"
"1284","TC033334"
"1285","TC033335"
"1286","TC034940"
"1287","TC002376"
"1288","TC004043"
"1289","TC004044"
"1290","TC010696"
"1291","TC016077"
"1292","TC031697"
"1293","TC031776"
"1294","TC031848"
"1295","TC033169"
"1296","TC034104"
"1297","TC034546"
"1298","TC034703"
"1299","TC005205"
"1300","TC007144"
"1301","TC010246"
"1302","TC011577"
"1303","TC014827"
"1304","TC031175"
"1305","TC031723"
"1306","TC031849"
"1307","TC032624"
"1308","TC032978"
"1309","TC033887"
"1310","TC035040"
"1311","TC006120"
"1312","TC006123"
"1313","TC006124"
"1314","TC009785"
"1315","TC009833"
"1316","TC009834"
"1317","TC010578"
"1318","TC011214"
"1319","TC011283"
"1320","TC015111"
"1321","TC015188"
"1322","TC033959"
"1323","TC006795"
"1324","TC007948"
"1325","TC007949"
"1326","TC007951"
"1327","TC007952"
"1328","TC007955"
"1329","TC011413"
"1330","TC014116"
"1331","TC015210"
"1332","TC030268"
"1333","TC032777"
"1334","TC034652"
"1335","TC000036"
"1336","TC000226"
"1337","TC003343"
"1338","TC006912"
"1339","TC006923"
"1340","TC010017"
"1341","TC011600"
"1342","TC012944"
"1343","TC016132"
"1344","TC016257"
"1345","TC016324"
"1346","TC001403"
"1347","TC001471"
"1348","TC001795"
"1349","TC002168"
"1350","TC005149"
"1351","TC005791"
"1352","TC016406"
"1353","TC030974"
"1354","TC031014"
"1355","TC031299"
"1356","TC031318"
"1357","TC001425"
"1358","TC001650"
"1359","TC004184"
"1360","TC012984"
"1361","TC015885"
"1362","TC030940"
"1363","TC031735"
"1364","TC031949"
"1365","TC032519"
"1366","TC034201"
"1367","TC035037"
"1368","TC001793"
"1369","TC004256"
"1370","TC010090"
"1371","TC011494"
"1372","TC016179"
"1373","TC016419"
"1374","TC016420"
"1375","TC031231"
"1376","TC031779"
"1377","TC031911"
"1378","TC033511"
"1379","TC001852"
"1380","TC004193"
"1381","TC005019"
"1382","TC006863"
"1383","TC010736"
"1384","TC016049"
"1385","TC031295"
"1386","TC031296"
"1387","TC031583"
"1388","TC031650"
"1389","TC031715"
"1390","TC001859"
"1391","TC002328"
"1392","TC004101"
"1393","TC004337"
"1394","TC004982"
"1395","TC005155"
"1396","TC010621"
"1397","TC010683"
"1398","TC010984"
"1399","TC011486"
"1400","TC016403"
"1401","TC002520"
"1402","TC002521"
"1403","TC003284"
